Key,TreeIdx,LeftIdx,RightIdx,FeatureIdx,SplitValue,IsLeaf,Label,Reserved
1,0,5,6,0,98304000,0,-1,0
2,0,3,4,4,3014656,0,-1,0
3,0,11,12,1,819200,0,-1,0
4,0,-1,-1,-2,0,1,1,0
5,0,7,8,4,1343488,0,-1,0
6,0,9,10,3,1409024,0,-1,0
7,0,-1,-1,-2,0,1,1,0
8,0,-1,-1,-2,0,1,0,0
9,0,13,14,0,3702784000,0,-1,0
10,0,-1,-1,-2,0,1,0,0
11,0,-1,-1,-2,0,1,1,0
12,0,-1,-1,-2,0,1,0,0
13,0,-1,-1,-2,0,1,1,0
14,0,-1,-1,-2,0,1,0,0
15,1,16,17,2,25231360,0,-1,0
16,1,20,21,2,1998848,0,-1,0
17,1,18,19,4,3342336,0,-1,0
18,1,-1,-1,-2,0,1,0,0
19,1,-1,-1,-2,0,1,1,0
20,1,22,23,0,3768320000,0,-1,0
21,1,24,25,3,4423680,0,-1,0
22,1,-1,-1,-2,0,1,1,0
23,1,26,27,5,32768000,0,-1,0
24,1,-1,-1,-2,0,1,0,0
25,1,-1,-1,-2,0,1,1,0
26,1,-1,-1,-2,0,1,0,0
27,1,28,29,0,51150848000000,0,-1,0
28,1,-1,-1,-2,0,1,1,0
29,1,-1,-1,-2,0,1,0,0
30,2,31,32,4,4423680,0,-1,0
31,2,33,34,4,1409024,0,-1,0
32,2,39,40,3,5472256,0,-1,0
33,2,35,36,2,9306112,0,-1,0
34,2,-1,-1,-2,0,1,0,0
35,2,37,38,0,98304000,0,-1,0
36,2,43,44,2,154664960,0,-1,0
37,2,-1,-1,-2,0,1,1,0
38,2,-1,-1,-2,0,1,0,0
39,2,-1,-1,-2,0,1,0,0
40,2,41,42,0,216252937142272,0,-1,0
41,2,-1,-1,-2,0,1,1,0
42,2,-1,-1,-2,0,1,0,0
43,2,-1,-1,-2,0,1,0,0
44,2,-1,-1,-2,0,1,0,0
45,3,46,47,2,25231360,0,-1,0
46,3,50,51,0,98304000,0,-1,0
47,3,48,49,4,3342336,0,-1,0
48,3,-1,-1,-2,0,1,0,0
49,3,-1,-1,-2,0,1,1,0
50,3,52,53,3,1310720,0,-1,0
51,3,54,55,4,1409024,0,-1,0
52,3,-1,-1,-2,0,1,1,0
53,3,-1,-1,-2,0,1,0,0
54,3,58,59,1,98304,0,-1,0
55,3,56,57,3,4423680,0,-1,0
56,3,-1,-1,-2,0,1,0,0
57,3,-1,-1,-2,0,1,1,0
58,3,-1,-1,-2,0,1,0,0
59,3,-1,-1,-2,0,1,1,0
60,4,61,62,0,39361412333568,0,-1,0
61,4,63,64,3,5472256,0,-1,0
62,4,-1,-1,-2,0,1,0,0
63,4,65,66,2,1998848,0,-1,0
64,4,-1,-1,-2,0,1,1,0
65,4,67,68,1,98304,0,-1,0
66,4,69,70,0,7147618304000,0,-1,0
67,4,-1,-1,-2,0,1,0,0
68,4,71,72,0,98304000,0,-1,0
69,4,73,74,3,3375104,0,-1,0
70,4,-1,-1,-2,0,1,1,0
71,4,-1,-1,-2,0,1,1,0
72,4,-1,-1,-2,0,1,1,0
73,4,-1,-1,-2,0,1,0,0
74,4,-1,-1,-2,0,1,0,0
75,5,76,77,3,5472256,0,-1,0
76,5,78,79,2,3080192,0,-1,0
77,5,82,83,1,425984,0,-1,0
78,5,80,81,1,98304,0,-1,0
79,5,88,89,0,7147847680000,0,-1,0
80,5,-1,-1,-2,0,1,0,0
81,5,86,87,0,51150848000000,0,-1,0
82,5,-1,-1,-2,0,1,1,0
83,5,84,85,4,524288,0,-1,0
84,5,-1,-1,-2,0,1,0,0
85,5,-1,-1,-2,0,1,1,0
86,5,-1,-1,-2,0,1,1,0
87,5,-1,-1,-2,0,1,0,0
88,5,-1,-1,-2,0,1,0,0
89,5,-1,-1,-2,0,1,1,0
90,6,91,92,4,4423680,0,-1,0
91,6,93,94,0,98304000,0,-1,0
92,6,-1,-1,-2,0,1,1,0
93,6,-1,-1,-2,0,1,1,0
94,6,95,96,3,1409024,0,-1,0
95,6,97,98,0,3768320000,0,-1,0
96,6,103,104,3,3375104,0,-1,0
97,6,-1,-1,-2,0,1,1,0
98,6,99,100,1,98304,0,-1,0
99,6,-1,-1,-2,0,1,0,0
100,6,101,102,0,51083707678720,0,-1,0
101,6,-1,-1,-2,0,1,1,0
102,6,-1,-1,-2,0,1,0,0
103,6,-1,-1,-2,0,1,0,0
104,6,-1,-1,-2,0,1,0,0
105,7,106,107,0,39575651090432,0,-1,0
106,7,108,109,4,4423680,0,-1,0
107,7,-1,-1,-2,0,1,0,0
108,7,110,111,3,1409024,0,-1,0
109,7,116,117,2,10944512,0,-1,0
110,7,-1,-1,-2,0,1,1,0
111,7,112,113,0,15710093312000,0,-1,0
112,7,114,115,3,4423680,0,-1,0
113,7,118,119,1,819200,0,-1,0
114,7,-1,-1,-2,0,1,0,0
115,7,-1,-1,-2,0,1,0,0
116,7,-1,-1,-2,0,1,0,0
117,7,-1,-1,-2,0,1,1,0
118,7,-1,-1,-2,0,1,1,0
119,7,-1,-1,-2,0,1,0,0
120,8,121,122,4,4423680,0,-1,0
121,8,123,124,0,98304000,0,-1,0
122,8,-1,-1,-2,0,1,1,0
123,8,-1,-1,-2,0,1,1,0
124,8,125,126,3,1409024,0,-1,0
125,8,127,128,1,98304,0,-1,0
126,8,-1,-1,-2,0,1,0,0
127,8,129,130,0,229376000,0,-1,0
128,8,133,134,1,294912,0,-1,0
129,8,-1,-1,-2,0,1,1,0
130,8,131,132,0,4371021824000,0,-1,0
131,8,-1,-1,-2,0,1,0,0
132,8,-1,-1,-2,0,1,1,0
133,8,-1,-1,-2,0,1,1,0
134,8,-1,-1,-2,0,1,0,0
135,9,136,137,4,4423680,0,-1,0
136,9,138,139,3,1409024,0,-1,0
137,9,-1,-1,-2,0,1,1,0
138,9,140,141,0,98304000,0,-1,0
139,9,142,143,0,36143104000,0,-1,0
140,9,-1,-1,-2,0,1,1,0
141,9,-1,-1,-2,0,1,0,0
142,9,-1,-1,-2,0,1,0,0
143,9,144,145,2,152174592,0,-1,0
144,9,146,147,3,3112960,0,-1,0
145,9,-1,-1,-2,0,1,0,0
146,9,-1,-1,-2,0,1,0,0
147,9,148,149,1,819200,0,-1,0
148,9,-1,-1,-2,0,1,1,0
149,9,-1,-1,-2,0,1,0,0
